# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"symbol","datetime","price","orderbook","big_trades","vol_1m","vol_5m","quote_vol_1m","quote_vol_5m","ohlc_1m","ohlc_5m","best_bid","best_ask","trade_count_1m","trade_count_5m","instant_vol_05s","instant_vol_1s","instant_quote_vol_05s","instant_quote_vol_1s","orderbook_bids","orderbook_asks","ohlc_1m_o","ohlc_1m_h","ohlc_1m_l","ohlc_1m_c","ohlc_1m_v","ohlc_1m_trade_count","ohlc_1m_quote_vol","ohlc_5m_o","ohlc_5m_h","ohlc_5m_l","ohlc_5m_c","ohlc_5m_v","ohlc_5m_trade_count","ohlc_5m_quote_vol"
"LA/USDT","2025-06-05 05:42:44.755",1.31975,"[[1.32147,255],[1.32161,74.3],[1.32202,627],[1.32402,70.1],[1.32403,74.3],[1.32488,105.2],[1.3263,74.3],[1.32849,307.1],[1.32879,74.3],[1.32904,19.1],[1.33274,60],[1.33275,74.3],[1.33468,307.4],[1.33522,74.3],[1.33568,307.4],[1.33569,1110.5],[1.33772,307.4],[1.33797,621.7],[1.33885,13.9],[1.33968,11.2]]","[[1.31304,74.3],[1.31121,80],[1.3112,307.4],[1.31106,74.3],[1.3095,307.4],[1.30899,13.5],[1.30898,74.3],[1.30769,307.4],[1.30651,307.4],[1.3065,74.3],[1.30514,307.4],[1.30501,627],[1.3044,74.3],[1.30043,74.3],[1.3,805.4],[1.29995,67.8],[1.2993,102.3],[1.29891,34.1],[1.29756,19.5],[1.29707,309.4]]","2025-06-05T05:42:46.964Z",7156991,"LA/USDT",1749102166964,"[(1.31975,73.7,1749102164483000),(1.31975,463.6,1749102164483000)]",537.3000000000001,537.3000000000001,709.101675,709.101675,1.31975,1.31975,1.31975,1.31975,709.101675,2,537.3000000000001,1.31975,1.31975,1.31975,1.31975,709.101675,2,537.3000000000001,1.31304,1.32147,2,2,537.3000000000001,537.3000000000001,709.101675,709.101675,"[[1.31304,74.3],[1.31121,80],[1.3112,307.4],[1.31106,74.3],[1.3095,307.4],[1.30899,13.5],[1.30898,74.3],[1.30769,307.4],[1.30651,307.4],[1.3065,74.3],[1.30514,307.4],[1.30501,627],[1.3044,74.3],[1.30043,74.3],[1.3,805.4],[1.29995,67.8],[1.2993,102.3],[1.29891,34.1],[1.29756,19.5],[1.29707,309.4]]","[[1.32147,255],[1.32161,74.3],[1.32202,627],[1.32402,70.1],[1.32403,74.3],[1.32488,105.2],[1.3263,74.3],[1.32849,307.1],[1.32879,74.3],[1.32904,19.1],[1.33274,60],[1.33275,74.3],[1.33468,307.4],[1.33522,74.3],[1.33568,307.4],[1.33569,1110.5],[1.33772,307.4],[1.33797,621.7],[1.33885,13.9],[1.33968,11.2]]",1.31975,1.31975,1.31975,1.31975,537.3000000000001,2,709.101675,1.31975,1.31975,1.31975,1.31975,537.3000000000001,2,709.101675
"EDGEN/USDT","2025-06-05 05:42:44.755",0.0177,"[[0.01776,16745.3],[0.01777,27305.8],[0.01779,9351],[0.0178,267.4],[0.01783,32209.1],[0.01784,3984.4],[0.01785,1172.7],[0.01786,1350.2],[0.01788,8890.9],[0.01789,10092],[0.0179,681.5],[0.01791,31957.3],[0.01796,2630.8],[0.018,1006.1],[0.01801,1952.6],[0.01802,3767.1],[0.01803,7478.3],[0.01804,22040.5],[0.01806,75.2],[0.01807,277.6]]","[[0.01763,5320],[0.01762,6112.1],[0.01761,4535.5],[0.0176,29872.9],[0.01759,5000],[0.01758,18574.3],[0.01757,14.8],[0.01755,5000],[0.01754,55562.8],[0.01752,5000],[0.01751,21816],[0.0175,33955.5],[0.01749,1148.3],[0.01748,77.5],[0.01747,12754.6],[0.01746,20714.2],[0.01745,1869.5],[0.01742,44606.6],[0.01741,17533.7],[0.0174,6941.5]]","2025-06-05T05:42:47.226Z",6758519,"EDGEN/USDT",1749102167226,"[(0.0177,10234.6,1749102164603000)]",10234.6,10234.6,181.15242,181.15242,0.0177,0.0177,0.0177,0.0177,181.15242,1,10234.6,0.0177,0.0177,0.0177,0.0177,181.15242,1,10234.6,0.01763,0.01776,1,1,10234.6,10234.6,181.15242,181.15242,"[[0.01763,5320],[0.01762,6112.1],[0.01761,4535.5],[0.0176,29872.9],[0.01759,5000],[0.01758,18574.3],[0.01757,14.8],[0.01755,5000],[0.01754,55562.8],[0.01752,5000],[0.01751,21816],[0.0175,33955.5],[0.01749,1148.3],[0.01748,77.5],[0.01747,12754.6],[0.01746,20714.2],[0.01745,1869.5],[0.01742,44606.6],[0.01741,17533.7],[0.0174,6941.5]]","[[0.01776,16745.3],[0.01777,27305.8],[0.01779,9351],[0.0178,267.4],[0.01783,32209.1],[0.01784,3984.4],[0.01785,1172.7],[0.01786,1350.2],[0.01788,8890.9],[0.01789,10092],[0.0179,681.5],[0.01791,31957.3],[0.01796,2630.8],[0.018,1006.1],[0.01801,1952.6],[0.01802,3767.1],[0.01803,7478.3],[0.01804,22040.5],[0.01806,75.2],[0.01807,277.6]]",0.0177,0.0177,0.0177,0.0177,10234.6,1,181.15242,0.0177,0.0177,0.0177,0.0177,10234.6,1,181.15242
"ASRR/USDT","2025-06-05 05:42:44.755",0.2685,"[[0.2685,169.95],[0.2688,36.73],[0.2689,1201.12],[0.2692,100],[0.2693,75.15],[0.2696,100],[0.2697,40.32],[0.27,100],[0.2701,62.62],[0.2705,38.48],[0.2708,189.88],[0.2709,49.77],[0.2711,12.53],[0.2713,600.28],[0.2714,99.37],[0.2715,649.68],[0.2717,48],[0.2721,70.35],[0.2722,222.39],[0.2723,66.51]]","[[0.2668,215.02],[0.2665,100],[0.2664,67.16],[0.2662,3.2],[0.2661,100],[0.266,228.74],[0.2658,100],[0.2657,406.29],[0.2656,408.99],[0.2655,557.23],[0.2654,829.5],[0.2653,487.26],[0.2652,769.47],[0.2651,1144.49],[0.2649,168.18],[0.2648,790.6],[0.2647,295.62],[0.2646,345.23],[0.2645,283.41],[0.2644,78.03]]","2025-06-05T05:42:47.467Z",6248520,"ASRR/USDT",1749102167467,"[]",158.93,158.93,42.613341,42.613341,0.2685,0.2685,0.2681,0.2681,42.613341,4,158.93,0.2685,0.2685,0.2681,0.2681,42.613341,4,158.93,0.2668,0.2685,4,4,158.93,158.93,42.613341,42.613341,"[[0.2668,215.02],[0.2665,100],[0.2664,67.16],[0.2662,3.2],[0.2661,100],[0.266,228.74],[0.2658,100],[0.2657,406.29],[0.2656,408.99],[0.2655,557.23],[0.2654,829.5],[0.2653,487.26],[0.2652,769.47],[0.2651,1144.49],[0.2649,168.18],[0.2648,790.6],[0.2647,295.62],[0.2646,345.23],[0.2645,283.41],[0.2644,78.03]]","[[0.2685,169.95],[0.2688,36.73],[0.2689,1201.12],[0.2692,100],[0.2693,75.15],[0.2696,100],[0.2697,40.32],[0.27,100],[0.2701,62.62],[0.2705,38.48],[0.2708,189.88],[0.2709,49.77],[0.2711,12.53],[0.2713,600.28],[0.2714,99.37],[0.2715,649.68],[0.2717,48],[0.2721,70.35],[0.2722,222.39],[0.2723,66.51]]",0.2681,0.2685,0.2681,0.2685,158.93,4,42.613341,0.2681,0.2685,0.2681,0.2685,158.93,4,42.613341
"LAT/USDT","2025-06-05 05:42:44.755",0.00392,"[[0.00392,11822],[0.003944,9065],[0.003946,5137],[0.003948,17450],[0.003959,50696],[0.00396,6729],[0.003968,20663],[0.003971,9051],[0.00398,10730],[0.003985,8089],[0.003988,7547],[0.003994,15857],[0.003996,10232],[0.004005,20435],[0.004015,9970],[0.004024,654],[0.004027,6000],[0.004028,2985],[0.004029,12400],[0.00403,615]]","[[0.003892,9065],[0.003891,45530],[0.00389,29160],[0.003889,6000],[0.003887,6000],[0.003886,381],[0.003884,14667],[0.003882,2667],[0.00388,5327],[0.003879,6000],[0.003878,18000],[0.003877,12554],[0.003876,19000],[0.003875,15796],[0.003874,29230],[0.003873,5808],[0.003872,21000],[0.00387,80098],[0.003869,20240],[0.003868,16387]]","2025-06-05T05:42:47.720Z",4067180,"LAT/USDT",1749102167720,"[(0.003918,55972,1749102167358000.2),(0.003919,33169,1749102167358000.2),(0.003919,24877,1749102167358000.2),(0.00392,32404,1749102167358000.2)]",176580,176580,691.95221,691.95221,0.00392,0.00392,0.003917,0.003917,691.95221,7,176580,0.00392,0.00392,0.003917,0.003917,691.95221,7,176580,0.003892,0.00392,7,7,176580,176580,691.95221,691.95221,"[[0.003892,9065],[0.003891,45530],[0.00389,29160],[0.003889,6000],[0.003887,6000],[0.003886,381],[0.003884,14667],[0.003882,2667],[0.00388,5327],[0.003879,6000],[0.003878,18000],[0.003877,12554],[0.003876,19000],[0.003875,15796],[0.003874,29230],[0.003873,5808],[0.003872,21000],[0.00387,80098],[0.003869,20240],[0.003868,16387]]","[[0.00392,11822],[0.003944,9065],[0.003946,5137],[0.003948,17450],[0.003959,50696],[0.00396,6729],[0.003968,20663],[0.003971,9051],[0.00398,10730],[0.003985,8089],[0.003988,7547],[0.003994,15857],[0.003996,10232],[0.004005,20435],[0.004015,9970],[0.004024,654],[0.004027,6000],[0.004028,2985],[0.004029,12400],[0.00403,615]]",0.003917,0.00392,0.003917,0.00392,176580,7,691.95221,0.003917,0.00392,0.003917,0.00392,176580,7,691.95221
"SOPH/USDT","2025-06-05 05:42:44.755",0.05707,"[[0.05714,1741.3],[0.05715,1724.9],[0.05716,5279.9],[0.05718,1741.3],[0.05719,3538.6],[0.0572,1741.3],[0.05722,56509.4],[0.05723,17540.7],[0.05724,1741.3],[0.05725,3538.6],[0.05726,1741.3],[0.05727,26118.8],[0.05728,14641.6],[0.05729,1741.3],[0.05731,33083.2],[0.05733,3215.8],[0.05734,4454.6],[0.05736,26118.8],[0.05737,3538.6],[0.05742,26729.6]]","[[0.05708,1741.3],[0.05706,5279.9],[0.05705,17864.6],[0.05704,1741.3],[0.05703,63830.1],[0.05702,19282],[0.057,1741.4],[0.05697,3538.6],[0.05696,2091.1],[0.05694,5289.6],[0.05692,3501.2],[0.0569,3538.6],[0.05683,13142.9],[0.05678,1740.1],[0.05677,87703.5],[0.05672,3927.3],[0.05671,1056],[0.05666,1474.5],[0.05665,918.8],[0.05662,26004.5]]","2025-06-05T05:42:47.969Z",31385255,"SOPH/USDT",1749102167969,"[(0.05715,3148.6,1749102166149000),(0.05707,3538.6,1749102166982000.2)]",6687.2,6687.2,381.890392,381.890392,0.05707,0.05715,0.05707,0.05715,381.890392,2,6687.2,0.05707,0.05715,0.05707,0.05715,381.890392,2,6687.2,0.05708,0.05714,2,2,6687.2,6687.2,381.890392,381.890392,"[[0.05708,1741.3],[0.05706,5279.9],[0.05705,17864.6],[0.05704,1741.3],[0.05703,63830.1],[0.05702,19282],[0.057,1741.4],[0.05697,3538.6],[0.05696,2091.1],[0.05694,5289.6],[0.05692,3501.2],[0.0569,3538.6],[0.05683,13142.9],[0.05678,1740.1],[0.05677,87703.5],[0.05672,3927.3],[0.05671,1056],[0.05666,1474.5],[0.05665,918.8],[0.05662,26004.5]]","[[0.05714,1741.3],[0.05715,1724.9],[0.05716,5279.9],[0.05718,1741.3],[0.05719,3538.6],[0.0572,1741.3],[0.05722,56509.4],[0.05723,17540.7],[0.05724,1741.3],[0.05725,3538.6],[0.05726,1741.3],[0.05727,26118.8],[0.05728,14641.6],[0.05729,1741.3],[0.05731,33083.2],[0.05733,3215.8],[0.05734,4454.6],[0.05736,26118.8],[0.05737,3538.6],[0.05742,26729.6]]",0.05715,0.05715,0.05707,0.05707,6687.2,2,381.890392,0.05715,0.05715,0.05707,0.05707,6687.2,2,381.890392
"HUMA/USDT","2025-06-05 05:42:44.755",0.038017,"[[0.038042,260],[0.038047,260],[0.038049,13220],[0.038064,260],[0.038067,12727],[0.038069,13220],[0.038077,260],[0.038089,13220],[0.038092,36711],[0.038109,13220],[0.038126,45443],[0.038136,13220],[0.03814,260],[0.038151,12727],[0.038156,21220],[0.038182,1616],[0.038229,12727],[0.038246,50480],[0.038273,3200],[0.038278,9523]]","[[0.037991,2000],[0.037986,2000],[0.037985,13220],[0.037984,260],[0.037982,13458],[0.037981,12727],[0.037974,260],[0.037963,13220],[0.03796,260],[0.037953,36695],[0.037951,45454],[0.037944,13480],[0.037939,260],[0.037925,13220],[0.037905,13220],[0.037904,12727],[0.03788,13220],[0.037862,6400],[0.03786,13220],[0.037833,50505]]","2025-06-05T05:42:48.203Z",41160353,"HUMA/USDT",1749102168203,"[(0.038017,8175,1749102167854000.2)]",8175,8175,310.788975,310.788975,0.038017,0.038017,0.038017,0.038017,310.788975,1,8175,0.038017,0.038017,0.038017,0.038017,310.788975,1,8175,0.037991,0.038042,1,1,8175,8175,310.788975,310.788975,"[[0.037991,2000],[0.037986,2000],[0.037985,13220],[0.037984,260],[0.037982,13458],[0.037981,12727],[0.037974,260],[0.037963,13220],[0.03796,260],[0.037953,36695],[0.037951,45454],[0.037944,13480],[0.037939,260],[0.037925,13220],[0.037905,13220],[0.037904,12727],[0.03788,13220],[0.037862,6400],[0.03786,13220],[0.037833,50505]]","[[0.038042,260],[0.038047,260],[0.038049,13220],[0.038064,260],[0.038067,12727],[0.038069,13220],[0.038077,260],[0.038089,13220],[0.038092,36711],[0.038109,13220],[0.038126,45443],[0.038136,13220],[0.03814,260],[0.038151,12727],[0.038156,21220],[0.038182,1616],[0.038229,12727],[0.038246,50480],[0.038273,3200],[0.038278,9523]]",0.038017,0.038017,0.038017,0.038017,8175,1,310.788975,0.038017,0.038017,0.038017,0.038017,8175,1,310.788975
"LA/USDT","2025-06-05 05:42:48.534",1.31876,"[[1.32403,74.3],[1.32612,147.7],[1.3263,74.3],[1.32828,244],[1.32829,70.1],[1.3283,626.1],[1.32856,102.5],[1.32879,74.3],[1.32904,19.1],[1.3323,311.6],[1.33275,74.3],[1.33521,60],[1.33522,74.3],[1.33569,1110.5],[1.33885,13.9],[1.33976,307.4],[1.34168,623.9],[1.34181,307.4],[1.3424,11.2],[1.34319,13]]","[[1.31592,79.4],[1.31591,13.5],[1.31589,307.4],[1.31556,74.3],[1.31447,307.4],[1.31346,307.4],[1.31304,74.3],[1.31183,626.1],[1.3112,307.4],[1.31106,74.3],[1.3095,307.4],[1.30898,74.3],[1.30769,307.4],[1.30651,307.4],[1.3065,74.3],[1.30514,307.4],[1.3044,74.3],[1.30274,104.9],[1.30225,59.2],[1.30043,74.3]]","2025-06-05T05:42:48.691Z",7157271,"LA/USDT",1749102168691,"[(1.31876,204.2,1749102167654000.2)]",741.5,741.5,978.3924669999999,978.3924669999999,1.31876,1.31975,1.31876,1.31975,978.3924669999999,3,741.5,1.31876,1.31975,1.31876,1.31975,978.3924669999999,3,741.5,1.31592,1.32403,3,3,741.5,741.5,978.3924669999999,978.3924669999999,"[[1.31592,79.4],[1.31591,13.5],[1.31589,307.4],[1.31556,74.3],[1.31447,307.4],[1.31346,307.4],[1.31304,74.3],[1.31183,626.1],[1.3112,307.4],[1.31106,74.3],[1.3095,307.4],[1.30898,74.3],[1.30769,307.4],[1.30651,307.4],[1.3065,74.3],[1.30514,307.4],[1.3044,74.3],[1.30274,104.9],[1.30225,59.2],[1.30043,74.3]]","[[1.32403,74.3],[1.32612,147.7],[1.3263,74.3],[1.32828,244],[1.32829,70.1],[1.3283,626.1],[1.32856,102.5],[1.32879,74.3],[1.32904,19.1],[1.3323,311.6],[1.33275,74.3],[1.33521,60],[1.33522,74.3],[1.33569,1110.5],[1.33885,13.9],[1.33976,307.4],[1.34168,623.9],[1.34181,307.4],[1.3424,11.2],[1.34319,13]]",1.31975,1.31975,1.31876,1.31876,741.5,3,978.3924669999999,1.31975,1.31975,1.31876,1.31876,741.5,3,978.3924669999999
"ASRR/USDT","2025-06-05 05:42:48.534",0.2677,"[[0.2685,169.95],[0.2688,36.73],[0.2689,1201.12],[0.2692,100],[0.2693,75.15],[0.2696,100],[0.2697,40.32],[0.27,100],[0.2701,62.62],[0.2704,100],[0.2705,38.48],[0.2708,189.88],[0.2709,49.77],[0.2711,12.53],[0.2713,600.28],[0.2714,99.37],[0.2716,649.68],[0.2717,48],[0.2721,70.35],[0.2722,222.39]]","[[0.2668,215.02],[0.2665,100],[0.2664,67.16],[0.2663,100],[0.2661,100],[0.266,228.74],[0.2658,103.2],[0.2657,406.29],[0.2656,408.99],[0.2655,557.23],[0.2654,829.5],[0.2653,487.26],[0.2652,769.47],[0.2651,1144.49],[0.2649,597.87],[0.2648,360.74],[0.2647,295.62],[0.2646,345.23],[0.2645,283.41],[0.2644,78.03]]","2025-06-05T05:42:48.966Z",6248534,"ASRR/USDT",1749102168966,"[(0.2677,661.7,1749102168054000.2)]",820.6300000000001,820.6300000000001,219.750431,219.750431,0.2677,0.2685,0.2677,0.2681,219.750431,5,820.6300000000001,0.2677,0.2685,0.2677,0.2681,219.750431,5,820.6300000000001,0.2668,0.2685,5,5,820.6300000000001,820.6300000000001,219.750431,219.750431,"[[0.2668,215.02],[0.2665,100],[0.2664,67.16],[0.2663,100],[0.2661,100],[0.266,228.74],[0.2658,103.2],[0.2657,406.29],[0.2656,408.99],[0.2655,557.23],[0.2654,829.5],[0.2653,487.26],[0.2652,769.47],[0.2651,1144.49],[0.2649,597.87],[0.2648,360.74],[0.2647,295.62],[0.2646,345.23],[0.2645,283.41],[0.2644,78.03]]","[[0.2685,169.95],[0.2688,36.73],[0.2689,1201.12],[0.2692,100],[0.2693,75.15],[0.2696,100],[0.2697,40.32],[0.27,100],[0.2701,62.62],[0.2704,100],[0.2705,38.48],[0.2708,189.88],[0.2709,49.77],[0.2711,12.53],[0.2713,600.28],[0.2714,99.37],[0.2716,649.68],[0.2717,48],[0.2721,70.35],[0.2722,222.39]]",0.2681,0.2685,0.2677,0.2677,820.6300000000001,5,219.750431,0.2681,0.2685,0.2677,0.2677,820.6300000000001,5,219.750431
"ASRR/USDT","2025-06-05 05:42:49.291",0.2668,"[[0.268,168.13],[0.2681,146.89],[0.2684,100],[0.2685,169.95],[0.2688,36.73],[0.2689,1201.12],[0.2692,100],[0.2693,75.15],[0.2696,100],[0.2697,40.32],[0.27,100],[0.2701,62.62],[0.2704,100],[0.2705,38.48],[0.2708,189.88],[0.2709,49.77],[0.2711,12.53],[0.2713,600.28],[0.2714,99.37],[0.2715,66.71]]","[[0.2668,56.09],[0.2665,100],[0.2664,67.16],[0.2661,100],[0.266,231.94],[0.2658,100],[0.2657,406.29],[0.2656,408.99],[0.2655,557.23],[0.2654,829.5],[0.2653,487.26],[0.2652,769.47],[0.2651,1144.49],[0.2649,597.87],[0.2648,360.74],[0.2647,295.62],[0.2646,345.23],[0.2645,283.41],[0.2644,78.03],[0.2643,161.56]]","2025-06-05T05:42:49.336Z",6248591,"ASRR/USDT",1749102169336,"[]",979.5600000000001,979.5600000000001,262.152955,262.152955,0.2668,0.2685,0.2668,0.2681,262.152955,8,979.5600000000001,0.2668,0.2685,0.2668,0.2681,262.152955,8,979.5600000000001,0.2668,0.268,8,8,979.5600000000001,979.5600000000001,262.152955,262.152955,"[[0.2668,56.09],[0.2665,100],[0.2664,67.16],[0.2661,100],[0.266,231.94],[0.2658,100],[0.2657,406.29],[0.2656,408.99],[0.2655,557.23],[0.2654,829.5],[0.2653,487.26],[0.2652,769.47],[0.2651,1144.49],[0.2649,597.87],[0.2648,360.74],[0.2647,295.62],[0.2646,345.23],[0.2645,283.41],[0.2644,78.03],[0.2643,161.56]]","[[0.268,168.13],[0.2681,146.89],[0.2684,100],[0.2685,169.95],[0.2688,36.73],[0.2689,1201.12],[0.2692,100],[0.2693,75.15],[0.2696,100],[0.2697,40.32],[0.27,100],[0.2701,62.62],[0.2704,100],[0.2705,38.48],[0.2708,189.88],[0.2709,49.77],[0.2711,12.53],[0.2713,600.28],[0.2714,99.37],[0.2715,66.71]]",0.2681,0.2685,0.2668,0.2668,979.5600000000001,8,262.152955,0.2681,0.2685,0.2668,0.2668,979.5600000000001,8,262.152955
"PFVS/USDT","2025-06-05 05:42:49.291",0.025,"[[0.02509,5893.9],[0.02513,5893.9],[0.02514,4554.8],[0.02516,5893.9],[0.02519,5893.9],[0.02522,5893.9],[0.02524,1522.8],[0.02525,6692.6],[0.02528,3448],[0.0253,2210.8],[0.02531,500],[0.02533,5893.9],[0.02539,790.8],[0.02541,1074.2],[0.02542,1478.2],[0.02544,2636.9],[0.02548,795.1],[0.02549,2779.4],[0.02551,4355.4],[0.02555,5007.7]]","[[0.02494,241.2],[0.02491,1000],[0.0249,6893.9],[0.02489,5806.7],[0.02488,2770.9],[0.02486,66.1],[0.02485,610.5],[0.02484,5893.9],[0.02481,3986.1],[0.0248,736.8],[0.02478,5893.9],[0.02477,1114.2],[0.02473,3175.9],[0.02472,5893.9],[0.02466,2173.8],[0.02458,1395.5],[0.02456,1397.8],[0.02452,4406.8],[0.02422,282.8],[0.02418,34339]]","2025-06-05T05:42:49.721Z",25350832,"PFVS/USDT",1749102169721,"[]",2183.4,2183.4,54.65646,54.65646,0.025,0.02509,0.025,0.02509,54.65646,3,2183.4,0.025,0.02509,0.025,0.02509,54.65646,3,2183.4,0.02494,0.02509,3,3,2183.4,2183.4,54.65646,54.65646,"[[0.02494,241.2],[0.02491,1000],[0.0249,6893.9],[0.02489,5806.7],[0.02488,2770.9],[0.02486,66.1],[0.02485,610.5],[0.02484,5893.9],[0.02481,3986.1],[0.0248,736.8],[0.02478,5893.9],[0.02477,1114.2],[0.02473,3175.9],[0.02472,5893.9],[0.02466,2173.8],[0.02458,1395.5],[0.02456,1397.8],[0.02452,4406.8],[0.02422,282.8],[0.02418,34339]]","[[0.02509,5893.9],[0.02513,5893.9],[0.02514,4554.8],[0.02516,5893.9],[0.02519,5893.9],[0.02522,5893.9],[0.02524,1522.8],[0.02525,6692.6],[0.02528,3448],[0.0253,2210.8],[0.02531,500],[0.02533,5893.9],[0.02539,790.8],[0.02541,1074.2],[0.02542,1478.2],[0.02544,2636.9],[0.02548,795.1],[0.02549,2779.4],[0.02551,4355.4],[0.02555,5007.7]]",0.02509,0.02509,0.025,0.025,2183.4,3,54.65646,0.02509,0.02509,0.025,0.025,2183.4,3,54.65646
